CODE,DESCRIPTION,LAST_UPDATED
B98,Other specified infectious agents as the cause of diseases classified to other chapters,2025-09-10
B980,Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters,2025-09-10
B981,Vibrio vulnificus as the cause of diseases classified to other chapters,2025-09-10
B99,Other and unspecified infectious diseases,2025-09-10
C00,Malignant neoplasm of lip,2025-09-10
C000,Malignant neoplasm: External upper lip,2025-09-10
C001,Malignant neoplasm: External lower lip,2025-09-10
C002,"Malignant neoplasm: External lip, unspecified",2025-09-10
C003,"Malignant neoplasm: Upper lip, inner aspect",2025-09-10
C004,"Malignant neoplasm: Lower lip, inner aspect",2025-09-10
C005,"Malignant neoplasm: Lip, unspecified, inner aspect",2025-09-10
C006,Malignant neoplasm: Commissure of lip,2025-09-10
C008,Malignant neoplasm: Overlapping lesion of lip,2025-09-10
C009,"Malignant neoplasm: Lip, unspecified",2025-09-10
C01,Malignant neoplasm of base of tongue,2025-09-10
C02,Malignant neoplasm of other and unspecified parts of tongue,2025-09-10
C020,Malignant neoplasm: Dorsal surface of tongue,2025-09-10
C021,Malignant neoplasm: Border of tongue,2025-09-10
C022,Malignant neoplasm: Ventral surface of tongue,2025-09-10
C023,"Malignant neoplasm: Anterior two-thirds of tongue, part unspecified",2025-09-10
C024,Malignant neoplasm: Lingual tonsil,2025-09-10
C028,Malignant neoplasm: Overlapping lesion of tongue,2025-09-10
C029,"Malignant neoplasm: Tongue, unspecified",2025-09-10
C03,Malignant neoplasm of gum,2025-09-10
C030,Malignant neoplasm: Upper gum,2025-09-10
C031,Malignant neoplasm: Lower gum,2025-09-10
C039,"Malignant neoplasm: Gum, unspecified",2025-09-10
C04,Malignant neoplasm of floor of mouth,2025-09-10
C040,Malignant neoplasm: Anterior floor of mouth,2025-09-10
C041,Malignant neoplasm: Lateral floor of mouth,2025-09-10
C048,Malignant neoplasm: Overlapping lesion of floor of mouth,2025-09-10
C049,"Malignant neoplasm: Floor of mouth, unspecified",2025-09-10
C05,Malignant neoplasm of palate,2025-09-10
C050,Malignant neoplasm: Hard palate,2025-09-10
C051,Malignant neoplasm: Soft palate,2025-09-10
C052,Malignant neoplasm: Uvula,2025-09-10
C058,Malignant neoplasm: Overlapping lesion of palate,2025-09-10
C059,"Malignant neoplasm: Palate, unspecified",2025-09-10
C06,Malignant neoplasm of other and unspecified parts of mouth,2025-09-10
C060,Malignant neoplasm: Cheek mucosa,2025-09-10
C061,Malignant neoplasm: Vestibule of mouth,2025-09-10
C062,Malignant neoplasm: Retromolar area,2025-09-10
C068,Malignant neoplasm: Overlapping lesion of other and unspecified parts of mouth,2025-09-10
C069,"Malignant neoplasm: Mouth, unspecified",2025-09-10
C07,Malignant neoplasm of parotid gland,2025-09-10
C08,Malignant neoplasm of other and unspecified major salivary glands,2025-09-10
C080,Malignant neoplasm: Submandibular gland,2025-09-10
C081,Malignant neoplasm: Sublingual gland,2025-09-10
C088,Malignant neoplasm: Overlapping lesion of major salivary glands,2025-09-10
C089,"Malignant neoplasm: Major salivary gland, unspecified",2025-09-10
C09,Malignant neoplasm of tonsil,2025-09-10
C090,Malignant neoplasm: Tonsillar fossa,2025-09-10
C091,Malignant neoplasm: Tonsillar pillar (anterior)(posterior),2025-09-10
C098,Malignant neoplasm: Overlapping lesion of tonsil,2025-09-10
C099,"Malignant neoplasm: Tonsil, unspecified",2025-09-10
C10,Malignant neoplasm of oropharynx,2025-09-10
C100,Malignant neoplasm: Vallecula,2025-09-10
C101,Malignant neoplasm: Anterior surface of epiglottis,2025-09-10
C102,Malignant neoplasm: Lateral wall of oropharynx,2025-09-10
C103,Malignant neoplasm: Posterior wall of oropharynx,2025-09-10
C104,Malignant neoplasm: Branchial cleft,2025-09-10
C108,Malignant neoplasm: Overlapping lesion of oropharynx,2025-09-10
C109,"Malignant neoplasm: Oropharynx, unspecified",2025-09-10
C11,Malignant neoplasm of nasopharynx,2025-09-10
C110,Malignant neoplasm: Superior wall of nasopharynx,2025-09-10
C111,Malignant neoplasm: Posterior wall of nasopharynx,2025-09-10
C112,Malignant neoplasm: Lateral wall of nasopharynx,2025-09-10
C113,Malignant neoplasm: Anterior wall of nasopharynx,2025-09-10
C118,Malignant neoplasm: Overlapping lesion of nasopharynx,2025-09-10
C119,"Malignant neoplasm: Nasopharynx, unspecified",2025-09-10
C12,Malignant neoplasm of piriform sinus,2025-09-10
C13,Malignant neoplasm of hypopharynx,2025-09-10
C130,Malignant neoplasm: Postcricoid region,2025-09-10
C131,"Malignant neoplasm: Aryepiglottic fold, hypopharyngeal aspect",2025-09-10
C132,Malignant neoplasm: Posterior wall of hypopharynx,2025-09-10
C138,Malignant neoplasm: Overlapping lesion of hypopharynx,2025-09-10
C139,"Malignant neoplasm: Hypopharynx, unspecified",2025-09-10
C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",2025-09-10
C140,"Malignant neoplasm: Pharynx, unspecified",2025-09-10
C142,Malignant neoplasm: Waldeyer ring,2025-09-10
C148,"Malignant neoplasm: Overlapping lesion of lip, oral cavity and pharynx",2025-09-10
C15,Malignant neoplasm of oesophagus,2025-09-10
C150,Malignant neoplasm: Cervical part of oesophagus,2025-09-10
C151,Malignant neoplasm: Thoracic part of oesophagus,2025-09-10
C152,Malignant neoplasm: Abdominal part of oesophagus,2025-09-10
C153,Malignant neoplasm: Upper third of oesophagus,2025-09-10
C154,Malignant neoplasm: Middle third of oesophagus,2025-09-10
C155,Malignant neoplasm: Lower third of oesophagus,2025-09-10
C158,Malignant neoplasm: Overlapping lesion of oesophagus,2025-09-10
C159,"Malignant neoplasm: Oesophagus, unspecified",2025-09-10
C16,Malignant neoplasm of stomach,2025-09-10
C160,Malignant neoplasm: Cardia,2025-09-10
C161,Malignant neoplasm: Fundus of stomach,2025-09-10
C162,Malignant neoplasm: Body of stomach,2025-09-10
C163,Malignant neoplasm: Pyloric antrum,2025-09-10
C164,Malignant neoplasm: Pylorus,2025-09-10
C165,"Malignant neoplasm: Lesser curvature of stomach, unspecified",2025-09-10
C166,"Malignant neoplasm: Greater curvature of stomach, unspecified",2025-09-10
C168,Malignant neoplasm: Overlapping lesion of stomach,2025-09-10
C169,"Malignant neoplasm: Stomach, unspecified",2025-09-10
C17,Malignant neoplasm of small intestine,2025-09-10
C170,Malignant neoplasm: Duodenum,2025-09-10
C171,Malignant neoplasm: Jejunum,2025-09-10
C172,Malignant neoplasm: Ileum,2025-09-10
C173,Malignant neoplasm: Meckel diverticulum,2025-09-10
C178,Malignant neoplasm: Overlapping lesion of small intestine,2025-09-10
C179,"Malignant neoplasm: Small intestine, unspecified",2025-09-10
C18,Malignant neoplasm of colon,2025-09-10
C180,Malignant neoplasm: Caecum,2025-09-10
C181,Malignant neoplasm: Appendix,2025-09-10
C182,Malignant neoplasm: Ascending colon,2025-09-10
C183,Malignant neoplasm: Hepatic flexure,2025-09-10
C184,Malignant neoplasm: Transverse colon,2025-09-10
C185,Malignant neoplasm: Splenic flexure,2025-09-10
C186,Malignant neoplasm: Descending colon,2025-09-10
C187,Malignant neoplasm: Sigmoid colon,2025-09-10
C188,Malignant neoplasm: Overlapping lesion of colon,2025-09-10
C189,"Malignant neoplasm: Colon, unspecified",2025-09-10
C19,Malignant neoplasm of rectosigmoid junction,2025-09-10
C20,Malignant neoplasm of rectum,2025-09-10
C21,Malignant neoplasm of anus and anal canal,2025-09-10
C210,"Malignant neoplasm: Anus, unspecified",2025-09-10
C211,Malignant neoplasm: Anal canal,2025-09-10
C212,Malignant neoplasm: Cloacogenic zone,2025-09-10
C218,"Malignant neoplasm: Overlapping lesion of rectum, anus and anal canal",2025-09-10
C22,Malignant neoplasm of liver and intrahepatic bile ducts,2025-09-10
C220,Malignant neoplasm: Liver cell carcinoma,2025-09-10
C221,Malignant neoplasm: Intrahepatic bile duct carcinoma,2025-09-10
C222,Malignant neoplasm: Hepatoblastoma,2025-09-10
C223,Malignant neoplasm: Angiosarcoma of liver,2025-09-10
C224,Malignant neoplasm: Other sarcomas of liver,2025-09-10
C227,Malignant neoplasm: Other specified carcinomas of liver,2025-09-10
C229,"Malignant neoplasm: Liver, unspecified",2025-09-10
C23,Malignant neoplasm of gallbladder,2025-09-10
C24,Malignant neoplasm of other and unspecified parts of biliary tract,2025-09-10
C240,Malignant neoplasm: Extrahepatic bile duct,2025-09-10
C241,Malignant neoplasm: Ampulla of Vater,2025-09-10
C248,Malignant neoplasm: Overlapping lesion of biliary tract,2025-09-10
C249,"Malignant neoplasm: Biliary tract, unspecified",2025-09-10
C25,Malignant neoplasm of pancreas,2025-09-10
C250,Malignant neoplasm: Head of pancreas,2025-09-10
C251,Malignant neoplasm: Body of pancreas,2025-09-10
C252,Malignant neoplasm: Tail of pancreas,2025-09-10
C253,Malignant neoplasm: Pancreatic duct,2025-09-10
C254,Malignant neoplasm: Endocrine pancreas,2025-09-10
C257,Malignant neoplasm: Other parts of pancreas,2025-09-10
C258,Malignant neoplasm: Overlapping lesion of pancreas,2025-09-10
C259,"Malignant neoplasm: Pancreas, unspecified",2025-09-10
C26,Malignant neoplasm of other and ill-defined digestive organs,2025-09-10
C260,"Malignant neoplasm: Intestinal tract, part unspecified",2025-09-10
C261,Malignant neoplasm: Spleen,2025-09-10
C268,Malignant neoplasm: Overlapping lesion of digestive system,2025-09-10
C269,Malignant neoplasm: Ill-defined sites within the digestive system,2025-09-10
C30,Malignant neoplasm of nasal cavity and middle ear,2025-09-10
C300,Malignant neoplasm: Nasal cavity,2025-09-10
C301,Malignant neoplasm: Middle ear,2025-09-10
C31,Malignant neoplasm of accessory sinuses,2025-09-10
C310,Malignant neoplasm: Maxillary sinus,2025-09-10
C311,Malignant neoplasm: Ethmoidal sinus,2025-09-10
C312,Malignant neoplasm: Frontal sinus,2025-09-10
C313,Malignant neoplasm: Sphenoidal sinus,2025-09-10
C318,Malignant neoplasm: Overlapping lesion of accessory sinuses,2025-09-10
C319,"Malignant neoplasm: Accessory sinus, unspecified",2025-09-10
C32,Malignant neoplasm of larynx,2025-09-10
C320,Malignant neoplasm: Glottis,2025-09-10
C321,Malignant neoplasm: Supraglottis,2025-09-10
C322,Malignant neoplasm: Subglottis,2025-09-10
C323,Malignant neoplasm: Laryngeal cartilage,2025-09-10
C328,Malignant neoplasm: Overlapping lesion of larynx,2025-09-10
C329,"Malignant neoplasm: Larynx, unspecified",2025-09-10
C33,Malignant neoplasm of trachea,2025-09-10
C34,Malignant neoplasm of bronchus and lung,2025-09-10
C340,Malignant neoplasm: Main bronchus,2025-09-10
C341,"Malignant neoplasm: Upper lobe, bronchus or lung",2025-09-10
C342,"Malignant neoplasm: Middle lobe, bronchus or lung",2025-09-10
C343,"Malignant neoplasm: Lower lobe, bronchus or lung",2025-09-10
C348,Malignant neoplasm: Overlapping lesion of bronchus and lung,2025-09-10
C349,"Malignant neoplasm: Bronchus or lung, unspecified",2025-09-10
C37,Malignant neoplasm of thymus,2025-09-10
C38,"Malignant neoplasm of heart, mediastinum and pleura",2025-09-10
C380,Malignant neoplasm: Heart,2025-09-10
C381,Malignant neoplasm: Anterior mediastinum,2025-09-10
C382,Malignant neoplasm: Posterior mediastinum,2025-09-10
C383,"Malignant neoplasm: Mediastinum, part unspecified",2025-09-10
C384,Malignant neoplasm: Pleura,2025-09-10
C388,"Malignant neoplasm: Overlapping lesion of heart, mediastinum and pleura",2025-09-10
C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,2025-09-10
C390,"Malignant neoplasm: Upper respiratory tract, part unspecified",2025-09-10
C398,Malignant neoplasm: Overlapping lesion of respiratory and intrathoracic organs,2025-09-10
C399,Malignant neoplasm: Ill-defined sites within the respiratory system,2025-09-10
C40,Malignant neoplasm of bone and articular cartilage of limbs,2025-09-10
C400,Malignant neoplasm: Scapula and long bones of upper limb,2025-09-10
C401,Malignant neoplasm: Short bones of upper limb,2025-09-10
C402,Malignant neoplasm: Long bones of lower limb,2025-09-10
C403,Malignant neoplasm: Short bones of lower limb,2025-09-10
C408,Malignant neoplasm: Overlapping lesion of bone and articular cartilage of limbs,2025-09-10
C409,"Malignant neoplasm: Bone and articular cartilage of limb, unspecified",2025-09-10
C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,2025-09-10
C410,Malignant neoplasm: Bones of skull and face,2025-09-10
C411,Malignant neoplasm: Mandible,2025-09-10
C412,Malignant neoplasm: Vertebral column,2025-09-10
C413,"Malignant neoplasm: Ribs, sternum and clavicle",2025-09-10
C414,"Malignant neoplasm: Pelvic bones, sacrum and coccyx",2025-09-10
C418,Malignant neoplasm: Overlapping lesion of bone and articular cartilage,2025-09-10
C419,"Malignant neoplasm: Bone and articular cartilage, unspecified",2025-09-10
C43,Malignant melanoma of skin,2025-09-10
C430,Malignant neoplasm: Malignant melanoma of lip,2025-09-10
C431,"Malignant neoplasm: Malignant melanoma of eyelid, including canthus",2025-09-10
C432,Malignant neoplasm: Malignant melanoma of ear and external auricular canal,2025-09-10
C433,Malignant neoplasm: Malignant melanoma of other and unspecified parts of face,2025-09-10
C434,Malignant neoplasm: Malignant melanoma of scalp and neck,2025-09-10
C435,Malignant neoplasm: Malignant melanoma of trunk,2025-09-10
C436,"Malignant neoplasm: Malignant melanoma of upper limb, including shoulder",2025-09-10
C437,"Malignant neoplasm: Malignant melanoma of lower limb, including hip",2025-09-10
C438,Malignant neoplasm: Overlapping malignant melanoma of skin,2025-09-10
C439,"Malignant neoplasm: Malignant melanoma of skin, unspecified",2025-09-10
C44,Other malignant neoplasms of skin,2025-09-10
C440,Malignant neoplasm: Skin of lip,2025-09-10
C441,"Malignant neoplasm: Skin of eyelid, including canthus",2025-09-10
C442,Malignant neoplasm: Skin of ear and external auricular canal,2025-09-10
C443,Malignant neoplasm: Skin of other and unspecified parts of face,2025-09-10
C444,Malignant neoplasm: Skin of scalp and neck,2025-09-10
C445,Malignant neoplasm: Skin of trunk,2025-09-10
C446,"Malignant neoplasm: Skin of upper limb, including shoulder",2025-09-10
C447,"Malignant neoplasm: Skin of lower limb, including hip",2025-09-10
C448,Malignant neoplasm: Overlapping lesion of skin,2025-09-10
C449,"Malignant neoplasm: Malignant neoplasm of skin, unspecified",2025-09-10
C45,Mesothelioma,2025-09-10
C450,Mesothelioma of pleura,2025-09-10
C451,Mesothelioma of peritoneum,2025-09-10
C452,Mesothelioma of pericardium,2025-09-10
C457,Mesothelioma of other sites,2025-09-10
C459,"Mesothelioma, unspecified",2025-09-10
C46,Kaposi sarcoma,2025-09-10
C460,Kaposi sarcoma of skin,2025-09-10
C461,Kaposi sarcoma of soft tissue,2025-09-10
C462,Kaposi sarcoma of palate,2025-09-10
C463,Kaposi sarcoma of lymph nodes,2025-09-10
C467,Kaposi sarcoma of other sites,2025-09-10
C468,Kaposi sarcoma of multiple organs,2025-09-10
C469,"Kaposi sarcoma, unspecified",2025-09-10
C47,Malignant neoplasm of peripheral nerves and autonomic nervous system,2025-09-10
C470,"Malignant neoplasm: Peripheral nerves of head, face and neck",2025-09-10
C471,"Malignant neoplasm: Peripheral nerves of upper limb, including shoulder",2025-09-10
C472,"Malignant neoplasm: Peripheral nerves of lower limb, including hip",2025-09-10
C473,Malignant neoplasm: Peripheral nerves of thorax,2025-09-10
C474,Malignant neoplasm: Peripheral nerves of abdomen,2025-09-10
C475,Malignant neoplasm: Peripheral nerves of pelvis,2025-09-10
C476,"Malignant neoplasm: Peripheral nerves of trunk, unspecified",2025-09-10
C478,Malignant neoplasm: Overlapping lesion of peripheral nerves and autonomic nervous system,2025-09-10
C479,"Malignant neoplasm: Peripheral nerves and autonomic nervous system, unspecified",2025-09-10
C48,Malignant neoplasm of retroperitoneum and peritoneum,2025-09-10
C480,Malignant neoplasm: Retroperitoneum,2025-09-10
C481,Malignant neoplasm: Specified parts of peritoneum,2025-09-10
C482,"Malignant neoplasm: Peritoneum, unspecified",2025-09-10
C488,Malignant neoplasm: Overlapping lesion of retroperitoneum and peritoneum,2025-09-10
C49,Malignant neoplasm of other connective and soft tissue,2025-09-10
C490,"Malignant neoplasm: Connective and soft tissue of head, face and neck",2025-09-10
C491,"Malignant neoplasm: Connective and soft tissue of upper limb, including shoulder",2025-09-10
C492,"Malignant neoplasm: Connective and soft tissue of lower limb, including hip",2025-09-10
C493,Malignant neoplasm: Connective and soft tissue of thorax,2025-09-10
C494,Malignant neoplasm: Connective and soft tissue of abdomen,2025-09-10
C495,Malignant neoplasm: Connective and soft tissue of pelvis,2025-09-10
C496,"Malignant neoplasm: Connective and soft tissue of trunk, unspecified",2025-09-10
C498,Malignant neoplasm: Overlapping lesion of connective and soft tissue,2025-09-10
C499,"Malignant neoplasm: Connective and soft tissue, unspecified",2025-09-10
C50,Malignant neoplasm of breast,2025-09-10
C500,Malignant neoplasm: Nipple and areola,2025-09-10
C501,Malignant neoplasm: Central portion of breast,2025-09-10
C502,Malignant neoplasm: Upper-inner quadrant of breast,2025-09-10
C503,Malignant neoplasm: Lower-inner quadrant of breast,2025-09-10
C504,Malignant neoplasm: Upper-outer quadrant of breast,2025-09-10
C505,Malignant neoplasm: Lower-outer quadrant of breast,2025-09-10
C506,Malignant neoplasm: Axillary tail of breast,2025-09-10
C508,Malignant neoplasm: Overlapping lesion of breast,2025-09-10
C509,"Malignant neoplasm: Breast, unspecified",2025-09-10
C51,Malignant neoplasm of vulva,2025-09-10
C510,Malignant neoplasm: Labium majus,2025-09-10
C511,Malignant neoplasm: Labium minus,2025-09-10
C512,Malignant neoplasm: Clitoris,2025-09-10
C518,Malignant neoplasm: Overlapping lesion of vulva,2025-09-10
C519,"Malignant neoplasm: Vulva, unspecified",2025-09-10
C52,Malignant neoplasm of vagina,2025-09-10
C53,Malignant neoplasm of cervix uteri,2025-09-10
C530,Malignant neoplasm: Endocervix,2025-09-10
C531,Malignant neoplasm: Exocervix,2025-09-10
C538,Malignant neoplasm: Overlapping lesion of cervix uteri,2025-09-10
C539,"Malignant neoplasm: Cervix uteri, unspecified",2025-09-10
C54,Malignant neoplasm of corpus uteri,2025-09-10
C540,Malignant neoplasm: Isthmus uteri,2025-09-10
C541,Malignant neoplasm: Endometrium,2025-09-10
C542,Malignant neoplasm: Myometrium,2025-09-10
C543,Malignant neoplasm: Fundus uteri,2025-09-10
C548,Malignant neoplasm: Overlapping lesion of corpus uteri,2025-09-10
C549,"Malignant neoplasm: Corpus uteri, unspecified",2025-09-10
C55,"Malignant neoplasm of uterus, part unspecified",2025-09-10
C56,Malignant neoplasm of ovary,2025-09-10
C57,Malignant neoplasm of other and unspecified female genital organs,2025-09-10
C570,Malignant neoplasm: Fallopian tube,2025-09-10
C571,Malignant neoplasm: Broad ligament,2025-09-10
C572,Malignant neoplasm: Round ligament,2025-09-10
C573,Malignant neoplasm: Parametrium,2025-09-10
C574,"Malignant neoplasm: Uterine adnexa, unspecified",2025-09-10
C577,Malignant neoplasm: Other specified female genital organs,2025-09-10
C578,Malignant neoplasm: Overlapping lesion of female genital organs,2025-09-10
C579,"Malignant neoplasm: Female genital organ, unspecified",2025-09-10
C58,Malignant neoplasm of placenta,2025-09-10
C60,Malignant neoplasm of penis,2025-09-10
C600,Malignant neoplasm: Prepuce,2025-09-10
C601,Malignant neoplasm: Glans penis,2025-09-10
C602,Malignant neoplasm: Body of penis,2025-09-10
C608,Malignant neoplasm: Overlapping lesion of penis,2025-09-10
C609,"Malignant neoplasm: Penis, unspecified",2025-09-10
C61,Malignant neoplasm of prostate,2025-09-10
C62,Malignant neoplasm of testis,2025-09-10
C620,Malignant neoplasm: Undescended testis,2025-09-10
C621,Malignant neoplasm: Descended testis,2025-09-10
C629,"Malignant neoplasm: Testis, unspecified",2025-09-10
C63,Malignant neoplasm of other and unspecified male genital organs,2025-09-10
C630,Malignant neoplasm: Epididymis,2025-09-10
C631,Malignant neoplasm: Spermatic cord,2025-09-10
C632,Malignant neoplasm: Scrotum,2025-09-10
C637,Malignant neoplasm: Other specified male genital organs,2025-09-10
C638,Malignant neoplasm: Overlapping lesion of male genital organs,2025-09-10
C639,"Malignant neoplasm: Male genital organ, unspecified",2025-09-10
C64,"Malignant neoplasm of kidney, except renal pelvis",2025-09-10
C65,Malignant neoplasm of renal pelvis,2025-09-10
C66,Malignant neoplasm of ureter,2025-09-10
C67,Malignant neoplasm of bladder,2025-09-10
C670,Malignant neoplasm: Trigone of bladder,2025-09-10
C671,Malignant neoplasm: Dome of bladder,2025-09-10
C672,Malignant neoplasm: Lateral wall of bladder,2025-09-10
C673,Malignant neoplasm: Anterior wall of bladder,2025-09-10
C674,Malignant neoplasm: Posterior wall of bladder,2025-09-10
C675,Malignant neoplasm: Bladder neck,2025-09-10
C676,Malignant neoplasm: Ureteric orifice,2025-09-10
C677,Malignant neoplasm: Urachus,2025-09-10
C678,Malignant neoplasm: Overlapping lesion of bladder,2025-09-10
C679,"Malignant neoplasm: Bladder, unspecified",2025-09-10
C68,Malignant neoplasm of other and unspecified urinary organs,2025-09-10
C680,Malignant neoplasm: Urethra,2025-09-10
C681,Malignant neoplasm: Paraurethral gland,2025-09-10
C688,Malignant neoplasm: Overlapping lesion of urinary organs,2025-09-10
C689,"Malignant neoplasm: Urinary organ, unspecified",2025-09-10
C69,Malignant neoplasm of eye and adnexa,2025-09-10
C690,Malignant neoplasm: Conjunctiva,2025-09-10
C691,Malignant neoplasm: Cornea,2025-09-10
C692,Malignant neoplasm: Retina,2025-09-10
C693,Malignant neoplasm: Choroid,2025-09-10
C694,Malignant neoplasm: Ciliary body,2025-09-10
C695,Malignant neoplasm: Lacrimal gland and duct,2025-09-10
C696,Malignant neoplasm: Orbit,2025-09-10
C698,Malignant neoplasm: Overlapping lesion of eye and adnexa,2025-09-10
C699,"Malignant neoplasm: Eye, unspecified",2025-09-10
C70,Malignant neoplasm of meninges,2025-09-10
C700,Malignant neoplasm: Cerebral meninges,2025-09-10
C701,Malignant neoplasm: Spinal meninges,2025-09-10
C709,"Malignant neoplasm: Meninges, unspecified",2025-09-10
C71,Malignant neoplasm of brain,2025-09-10
C710,"Malignant neoplasm: Cerebrum, except lobes and ventricles",2025-09-10
C711,Malignant neoplasm: Frontal lobe,2025-09-10
C712,Malignant neoplasm: Temporal lobe,2025-09-10
C713,Malignant neoplasm: Parietal lobe,2025-09-10
C714,Malignant neoplasm: Occipital lobe,2025-09-10
C715,Malignant neoplasm: Cerebral ventricle,2025-09-10
C716,Malignant neoplasm: Cerebellum,2025-09-10
C717,Malignant neoplasm: Brain stem,2025-09-10
C718,Malignant neoplasm: Overlapping lesion of brain,2025-09-10
C719,"Malignant neoplasm: Brain, unspecified",2025-09-10
C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",2025-09-10
C720,Malignant neoplasm: Spinal cord,2025-09-10
C721,Malignant neoplasm: Cauda equina,2025-09-10
C722,Malignant neoplasm: Olfactory nerve,2025-09-10
C723,Malignant neoplasm: Optic nerve,2025-09-10
C724,Malignant neoplasm: Acoustic nerve,2025-09-10
C725,Malignant neoplasm: Other and unspecified cranial nerves,2025-09-10
C728,Malignant neoplasm: Overlapping lesion of brain and other parts of central nervous system,2025-09-10
C729,"Malignant neoplasm: Central nervous system, unspecified",2025-09-10
C73,Malignant neoplasm of thyroid gland,2025-09-10
C74,Malignant neoplasm of adrenal gland,2025-09-10
C740,Malignant neoplasm: Cortex of adrenal gland,2025-09-10
C741,Malignant neoplasm: Medulla of adrenal gland,2025-09-10
C749,"Malignant neoplasm: Adrenal gland, unspecified",2025-09-10
C75,Malignant neoplasm of other endocrine glands and related structures,2025-09-10
C750,Malignant neoplasm: Parathyroid gland,2025-09-10
C751,Malignant neoplasm: Pituitary gland,2025-09-10
C752,Malignant neoplasm: Craniopharyngeal duct,2025-09-10
C753,Malignant neoplasm: Pineal gland,2025-09-10
C754,Malignant neoplasm: Carotid body,2025-09-10
C755,Malignant neoplasm: Aortic body and other paraganglia,2025-09-10
C758,"Malignant neoplasm: Pluriglandular involvement, unspecified",2025-09-10
C759,"Malignant neoplasm: Endocrine gland, unspecified",2025-09-10
C76,Malignant neoplasm of other and ill-defined sites,2025-09-10
C760,"Malignant neoplasm of other and ill-defined sites: Head, face and neck",2025-09-10
C761,Malignant neoplasm of other and ill-defined sites: Thorax,2025-09-10
C762,Malignant neoplasm of other and ill-defined sites: Abdomen,2025-09-10
C763,Malignant neoplasm of other and ill-defined sites: Pelvis,2025-09-10
C764,Malignant neoplasm of other and ill-defined sites: Upper limb,2025-09-10
C765,Malignant neoplasm of other and ill-defined sites: Lower limb,2025-09-10
C767,Malignant neoplasm of other and ill-defined sites: Other ill-defined sites,2025-09-10
C768,Malignant neoplasm of other and ill-defined sites: Overlapping lesion of other and ill-defined sites,2025-09-10
C77,Secondary and unspecified malignant neoplasm of lymph nodes,2025-09-10
C770,"Secondary and unspecified malignant neoplasm: Lymph nodes of head, face and neck",2025-09-10
C771,Secondary and unspecified malignant neoplasm: Intrathoracic lymph nodes,2025-09-10
C772,Secondary and unspecified malignant neoplasm: Intra-abdominal lymph nodes,2025-09-10
C773,Secondary and unspecified malignant neoplasm: Axillary and upper limb lymph nodes,2025-09-10
C774,Secondary and unspecified malignant neoplasm: Inguinal and lower limb lymph nodes,2025-09-10
C775,Secondary and unspecified malignant neoplasm: Intrapelvic lymph nodes,2025-09-10
C778,Secondary and unspecified malignant neoplasm: Lymph nodes of multiple regions,2025-09-10
C779,"Secondary and unspecified malignant neoplasm: Lymph node, unspecified",2025-09-10
C78,Secondary malignant neoplasm of respiratory and digestive organs,2025-09-10
C780,Secondary malignant neoplasm of lung,2025-09-10
C781,Secondary malignant neoplasm of mediastinum,2025-09-10
C782,Secondary malignant neoplasm of pleura,2025-09-10
C783,Secondary malignant neoplasm of other and unspecified respiratory organs,2025-09-10
C784,Secondary malignant neoplasm of small intestine,2025-09-10
C785,Secondary malignant neoplasm of large intestine and rectum,2025-09-10
C786,Secondary malignant neoplasm of retroperitoneum and peritoneum,2025-09-10
C787,Secondary malignant neoplasm of liver and intrahepatic bile duct,2025-09-10
C788,Secondary malignant neoplasm of other and unspecified digestive organs,2025-09-10
C79,Secondary malignant neoplasm of other and unspecified sites,2025-09-10
C790,Secondary malignant neoplasm of kidney and renal pelvis,2025-09-10
C791,Secondary malignant neoplasm of bladder and other and unspecified urinary organs,2025-09-10
C792,Secondary malignant neoplasm of skin,2025-09-10
C793,Secondary malignant neoplasm of brain and cerebral meninges,2025-09-10
C794,Secondary malignant neoplasm of other and unspecified parts of nervous system,2025-09-10
C795,Secondary malignant neoplasm of bone and bone marrow,2025-09-10
C796,Secondary malignant neoplasm of ovary,2025-09-10
C797,Secondary malignant neoplasm of adrenal gland,2025-09-10
C798,Secondary malignant neoplasm of other specified sites,2025-09-10
C799,"Secondary malignant neoplasm, unspecified site",2025-09-10
C80,"Malignant neoplasm, without specification of site",2025-09-10
C800,"Malignant neoplasm, primary site unknown, so stated",2025-09-10
C809,"Malignant neoplasm, primary site unspecified",2025-09-10
C81,Hodgkin lymphoma,2025-09-10
C810,Nodular lymphocyte predominant Hodgkin lymphoma,2025-09-10
C811,Nodular sclerosis classical Hodgkin lymphoma,2025-09-10
C812,Mixed cellularity classical Hodgkin lymphoma,2025-09-10
C813,Lymphocyte depleted classical Hodgkin lymphoma,2025-09-10
C814,Lymphocyte-rich (classical) Hodgkin lymphoma,2025-09-10
C817,Other classical Hodgkin lymphoma,2025-09-10
C819,"Hodgkin lymphoma, unspecified",2025-09-10
C82,Follicular lymphoma,2025-09-10
C820,Follicular lymphoma grade I,2025-09-10
C821,Follicular lymphoma grade II,2025-09-10
C822,"Follicular lymphoma grade III, unspecified",2025-09-10
C823,Follicular lymphoma grade IIIa,2025-09-10
C824,Follicular lymphoma grade IIIb,2025-09-10
